emp_id department salary promotion_last_5_years work_accident left tenure number_project avg_month_hours job_sat last_evaluation
1 sales low No No Yes 3 2 157 38 53
2 sales medium No No Yes 6 5 262 80 86
3 sales medium No No Yes 4 7 272 11 88
4 sales low No No Yes 5 5 223 72 87
5 sales low No No Yes 3 2 159 37 52
6 sales low No No Yes 3 2 153 41 50
7 sales low No No Yes 4 6 247 10 77
8 sales low No No Yes 5 5 259 92 85
9 sales low No No Yes 5 5 224 89 100
10 sales low No No Yes 3 2 142 42 53
11 sales low No No Yes 3 2 135 45 54
12 sales low No No Yes 4 6 305 11 81
13 sales low No No Yes 5 4 234 84 92
14 sales low No No Yes 3 2 148 41 55
15 sales low No No Yes 3 2 137 36 56
16 sales low No No Yes 3 2 143 38 54
17 sales low No No Yes 3 2 160 45 47
18 sales low No No Yes 6 4 255 78 99
19 sales low Yes Yes Yes 3 2 160 45 51
20 sales low No No Yes 5 5 262 76 89
21 sales low No No Yes 4 6 282 11 83
22 sales low No No Yes 3 2 147 38 55
23 sales low No No Yes 4 6 304 9 95
24 sales low No No Yes 3 2 139 46 57
25 sales low No No Yes 3 2 158 40 53
26 sales low No No Yes 5 5 242 89 92
27 sales low No No Yes 5 4 239 82 87
28 sales low No No Yes 3 2 135 40 49
29 accounting low No No Yes 3 2 128 41 46
30 accounting low No No Yes 3 2 132 38 50
31 accounting low No No Yes 4 6 294 9 62
32 hr low No No Yes 3 2 134 45 57
33 hr low No No Yes 3 2 145 40 51
34 hr low No No Yes 3 2 140 45 55
35 hr low No No Yes 6 4 246 84 87
36 technical low No No Yes 4 6 255 10 94
37 technical low No No Yes 3 2 137 38 46
38 technical low No No Yes 3 2 126 45 50
39 technical low No No Yes 4 6 306 11 89
40 technical low No No Yes 3 2 152 41 54
41 technical low No No Yes 5 5 269 87 88
42 technical low No No Yes 3 2 158 45 48
43 technical low No No Yes 3 2 127 40 46
44 technical low No No Yes 4 7 281 10 80
45 technical low No No Yes 4 6 276 9 89
46 technical low No No Yes 4 3 182 84 74
47 support low No No Yes 3 2 147 40 55
48 support low No No Yes 6 3 273 57 70
49 support low No No Yes 3 2 148 40 54
50 support low No No Yes 3 2 147 43 47
51 support low No No Yes 2 6 152 13 78
52 support low No No Yes 3 2 135 44 55
53 support low No No Yes 3 2 134 38 55
54 support low No No Yes 3 2 132 39 54
55 support low No No Yes 4 7 307 10 92
56 support low No No Yes 3 2 140 37 46
57 support low No No Yes 4 7 255 11 94
58 technical low No No Yes 4 6 309 10 81
59 technical low No No Yes 3 2 128 38 54
60 technical low No No Yes 5 4 225 85 100
61 management medium No No Yes 5 5 226 85 91
62 IT medium No No Yes 4 7 308 11 93
63 IT medium No No Yes 5 6 244 10 95
64 IT medium No No Yes 3 2 132 36 56
65 IT medium No No Yes 4 6 286 11 94
66 IT medium No No Yes 4 6 161 81 70
67 product_mng medium No No Yes 3 2 153 43 54
68 product_mng medium No No Yes 6 4 264 90 98
69 product_mng medium No Yes Yes 5 5 223 76 86
70 product_mng medium No No Yes 3 2 135 43 50
71 IT medium No No Yes 3 2 277 74 99
72 product_mng medium No No Yes 4 5 275 9 77
73 product_mng high No No Yes 3 2 149 45 49
74 product_mng low No No Yes 4 7 295 9 87
75 product_mng medium No No Yes 4 6 277 11 97
76 product_mng medium No No Yes 4 7 306 11 79
77 product_mng medium No No Yes 4 6 295 10 83
78 marketing medium No No Yes 3 2 137 40 54
79 sales low No No Yes 3 2 157 43 56
80 accounting low No No Yes 3 2 142 39 56
81 support low No No Yes 3 2 140 45 54
82 technical low No No Yes 3 2 151 38 49
83 management low Yes No Yes 3 4 139 79 59
84 marketing low No No Yes 6 4 249 84 85
85 marketing low No No Yes 4 6 291 11 77
86 marketing low No No Yes 4 6 305 11 87
87 sales low No No Yes 3 5 232 17 84
88 sales low No No Yes 3 2 132 44 45
89 sales low No No Yes 3 2 130 37 57
90 sales low No No Yes 4 6 291 10 79
91 sales low No No Yes 3 2 130 40 50
92 sales low No No Yes 5 5 246 89 100
93 sales low No No Yes 3 2 143 42 48
94 sales low No No Yes 3 2 129 46 55
95 sales low No No Yes 4 6 255 9 83
96 sales low No No Yes 3 2 155 37 51
97 sales low No No Yes 4 6 265 10 77
98 sales low No No Yes 4 6 279 10 84
99 sales low No No Yes 4 6 284 11 97
100 sales medium No No Yes 6 5 221 90 100
101 sales medium No No Yes 3 2 154 38 52
102 sales medium No No Yes 3 2 147 36 52
103 sales medium No No Yes 3 2 150 42 46
104 sales medium No No Yes 4 7 267 9 94
105 sales medium No No Yes 3 2 158 43 52
106 accounting medium No No Yes 5 7 224 24 46
107 accounting medium No No Yes 5 4 257 91 100
108 accounting medium No No Yes 3 2 148 44 50
109 hr medium No No Yes 4 3 177 71 87
110 hr medium No No Yes 3 2 155 40 49
111 hr medium No No Yes 3 2 144 43 47
112 hr high No No Yes 4 6 289 9 85
113 technical low No No Yes 3 2 160 43 52
114 technical medium No No Yes 5 4 258 90 96
115 technical medium No No Yes 5 5 234 84 100
116 technical medium No No Yes 3 2 137 37 48
117 technical medium No No Yes 2 5 263 86 68
118 technical low No No Yes 4 6 251 11 84
119 technical low No No Yes 3 2 133 37 57
120 technical low No No Yes 3 2 132 40 46
121 technical low No Yes Yes 4 4 158 14 62
122 technical low No No Yes 3 2 135 40 46
123 technical low No No Yes 6 4 216 75 100
124 support low No Yes Yes 5 6 300 11 84
125 support low No No Yes 3 2 138 46 49
126 support low No No Yes 4 6 260 11 92
127 support low No No Yes 3 2 132 38 49
128 support low No No Yes 5 3 183 70 89
129 support low No No Yes 4 6 250 9 82
130 support low No No Yes 3 2 151 37 45
131 support low No No Yes 4 6 292 10 83
132 support low No No Yes 3 2 140 38 57
133 support low No No Yes 5 5 221 90 100
134 support low No No Yes 3 2 138 44 51
135 technical low No No Yes 3 2 132 36 50
136 technical low No No Yes 5 7 133 31 84
137 technical low No Yes Yes 4 6 283 10 84
138 management low No No Yes 3 2 129 42 48
139 IT low No No Yes 5 4 249 74 100
140 IT low No No Yes 5 5 257 73 87
141 IT low No No Yes 4 6 245 9 96
142 IT low No No Yes 3 2 155 45 53
143 IT low No No Yes 4 6 256 11 80
144 product_mng low No No Yes 3 2 152 37 47
